po_id,product_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered
477,67,9.0,2024-11-04,2024-12-04,2024-12-04,60
479,68,8.0,2024-01-22,2024-02-01,2024-02-08,24
480,68,8.0,2024-02-26,2024-03-07,2024-03-17,24
481,68,8.0,2024-04-15,2024-04-25,2024-04-25,24
482,68,8.0,2024-05-27,2024-06-06,2024-06-06,24
483,68,8.0,2024-07-08,2024-07-18,2024-07-18,24
484,68,,2024-08-19,2024-08-29,2024-08-29,24
485,68,8.0,2024-09-30,2024-10-10,2024-10-10,24
486,68,8.0,2024-11-18,2024-11-28,2024-11-28,24
487,69,12.0,2024-01-22,2024-02-21,2024-02-21,24
488,69,12.0,2024-03-18,2024-04-17,2024-04-21,24
489,69,12.0,2024-05-13,2024-06-12,2024-06-16,24
490,69,12.0,2024-07-15,2024-08-14,2024-08-14,24
491,69,12.0,2024-09-09,2024-10-09,2024-10-09,24
492,69,12.0,2024-11-04,2024-12-04,2024-12-04,24
493,70,4.0,2024-01-15,2024-02-14,2024-02-14,60
494,70,4.0,2024-03-11,2024-04-10,2024-04-19,60
495,70,4.0,2024-05-20,2024-06-19,2024-06-19,60
496,70,4.0,2024-07-08,2024-08-07,2024-08-07,60
497,70,4.0,2024-09-02,2024-10-02,2024-10-11,60
498,70,4.0,2024-11-04,2024-12-04,2024-12-04,60
499,71,9.0,2024-01-22,2024-02-21,2024-02-21,24
500,71,9.0,2024-03-25,2024-04-24,2024-04-24,24
501,71,9.0,2024-05-13,2024-06-12,2024-06-12,24
502,71,9.0,2024-07-08,2024-08-07,2024-08-13,24
503,71,9.0,2024-09-09,2024-10-09,2024-10-09,24
504,71,9.0,2024-11-04,2024-12-04,2024-12-04,24
505,72,2.0,2024-01-22,2024-02-01,2024-02-01,126
506,72,2.0,2024-03-04,2024-03-14,2024-03-14,126
507,72,2.0,2024-04-08,2024-04-18,2024-04-18,126
508,72,2.0,2024-05-20,2024-05-30,2024-05-30,126
509,72,2.0,2024-07-01,2024-07-11,2024-07-11,126
510,72,2.0,2024-08-12,2024-08-22,2024-08-22,126
511,72,2.0,2024-09-30,2024-10-10,2024-10-10,126
512,72,2.0,2024-11-04,2024-11-14,2024-11-14,126
513,72,2.0,2024-12-09,2024-12-19,2024-12-19,126
514,73,11.0,2024-01-15,2024-01-25,2024-01-25,114
515,73,11.0,2024-02-19,2024-02-29,2024-03-04,114
516,73,11.0,2024-04-08,2024-04-18,2024-04-25,114
517,73,11.0,2024-05-20,2024-05-30,2024-06-12,114
518,73,11.0,2024-07-01,2024-07-11,2024-07-17,114
519,73,11.0,2024-08-12,2024-08-22,2024-08-22,114
520,73,11.0,2024-09-23,2024-10-03,2024-10-16,114
521,73,,2024-11-11,2024-11-21,2024-11-21,114
522,73,11.0,2024-12-16,2024-12-26,2024-12-26,114
523,74,15.0,2024-01-15,2024-01-29,2024-01-29,90
524,74,15.0,2024-02-26,2024-03-11,2024-03-11,90
525,74,15.0,2024-04-08,2024-04-22,2024-05-04,90
526,74,15.0,2024-05-27,2024-06-10,2024-06-22,90
527,74,15.0,2024-07-22,2024-08-05,2024-08-15,90
528,74,15.0,2024-09-02,2024-09-16,2024-09-16,90
529,74,15.0,2024-10-14,2024-10-28,2024-11-11,90
530,74,15.0,2024-12-02,2024-12-16,2024-12-16,90
531,75,5.0,2024-01-22,2024-02-21,2024-02-21,66
532,75,5.0,2024-03-11,2024-04-10,2024-04-10,66
533,75,5.0,2024-04-29,2024-05-29,2024-05-29,66
534,75,5.0,2024-06-24,2024-07-24,2024-08-02,66
535,75,5.0,2024-09-02,2024-10-02,2024-10-14,66
536,75,5.0,2024-11-04,2024-12-04,2024-12-04,66
538,76,4.0,2024-01-15,2024-02-14,2024-02-26,162
539,76,4.0,2024-03-18,2024-04-17,2024-04-17,162
540,76,4.0,2024-05-13,2024-06-12,2024-06-12,162
541,76,4.0,2024-07-01,2024-07-31,2024-07-31,162
542,76,4.0,2024-08-19,2024-09-18,2024-09-30,162
543,76,4.0,2024-10-21,2024-11-20,2024-11-20,162
545,77,4.0,2024-01-22,2024-02-21,2024-02-21,18
546,77,4.0,2024-03-18,2024-04-17,2024-04-17,18
547,77,4.0,2024-05-13,2024-06-12,2024-06-17,18
548,77,4.0,2024-07-15,2024-08-14,2024-08-23,18
549,77,4.0,2024-10-07,2024-11-06,2024-11-06,18
551,78,3.0,2024-01-15,2024-01-25,2024-01-25,78
552,78,3.0,2024-03-04,2024-03-14,2024-03-14,78
553,78,3.0,2024-04-15,2024-04-25,2024-04-25,78
554,78,3.0,2024-05-27,2024-06-06,2024-06-06,78
555,78,3.0,2024-07-08,2024-07-18,2024-07-26,78
556,78,3.0,2024-08-26,2024-09-05,2024-09-05,78
557,78,3.0,2024-10-21,2024-10-31,2024-10-31,78
558,78,3.0,2024-12-09,2024-12-19,2024-12-19,78
559,79,13.0,2024-01-15,2024-01-22,2024-01-22,6
560,79,13.0,2024-03-25,2024-04-01,2024-04-01,6
561,79,,2024-07-22,2024-07-29,2024-07-29,6
562,79,13.0,2024-09-02,2024-09-09,2024-09-09,6
563,80,14.0,2024-01-29,2024-02-19,2024-02-19,18
564,80,14.0,2024-03-18,2024-04-08,2024-04-08,18
565,80,14.0,2024-05-06,2024-05-27,2024-06-07,18
566,80,14.0,2024-07-08,2024-07-29,2024-08-01,18
567,80,14.0,2024-09-02,2024-09-23,2024-10-04,18
568,80,14.0,2024-10-28,2024-11-18,2024-11-18,18
